engine,config,scenario,run_id,scaling,n,particles,rho,dt,steps,bx,by,bz,schedule,layout,executor,ordering,threads,total_cores,integration_time_s,performance_mups,mups_computed,avg_step_time_s,median_step_time_s,std_deviation_s,wall_time_seconds,speedup,parallel_efficiency
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t8,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,8,8,26.49705,18.87,18.870025153743526,0.052994,0.052996,0.000754,29.317526,7.120754716981133,0.8900943396226416
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t11,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,11,11,20.3831,24.53,24.53012544706154,0.040766,0.040856,0.000554,22.677156,9.256603773584906,0.8415094339622642
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t16,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,16,16,15.6956,31.86,31.8560615713958,0.031391,0.031114,0.00089,17.696143,12.022641509433962,0.7514150943396226
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t23,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,23,23,12.11539,41.27,41.26982292769775,0.024231,0.024185,0.000273,13.716302,15.573584905660379,0.6771123872026251
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t32,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,32,32,10.10436,49.48,49.483589262457,0.020209,0.020184,0.000171,11.526339,18.671698113207547,0.5834905660377359
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t37,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,37,37,9.62701,51.94,51.937205840650414,0.019254,0.019251,0.000118,11.002559,19.6,0.5297297297297298
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t45,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,45,45,8.75712,57.1,57.09639698896441,0.017514,0.017461,0.000245,10.046776,21.547169811320757,0.4788259958071279
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t50,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,50,50,8.51352,58.73,58.73011398340522,0.017027,0.017027,0.000179,9.786285,22.162264150943397,0.44324528301886795
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t56,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,56,56,8.64575,57.83,57.831882716941855,0.017291,0.017269,0.000331,9.917178,21.82264150943396,0.38969002695417787
april,native,strong_n160_p4096000_rho0.8442_dt0.005_steps200_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260426_183309,strong,160,4096000,0.8442,0.005,200,2,2,2,C08,SoA,OmpExecutor,hilbert,1,1,337.42022,2.43,2.427833163051106,1.687101,1.707296,0.13648,365.097692,1.0,1.0
