engine,config,benchmark,scaling,scenario,run_id,run_date,hostname,n_dim,atoms,rho,dt,steps,ranks,threads,bind,loop_time_s,timesteps_per_second,matom_step_per_second,cpu_use_percent,pair_time_s,neigh_time_s,comm_time_s,output_time_s,modify_time_s,other_time_s,total_neighbors,neighbor_list_builds,wall_time_s,wall_time_process_s,exit_status,result_dir
lammps,intel-native,argon_block,weak,weak_n102_p1061208_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose,20260630_024117_weak_rep1,2026-06-30T03:17:55+02:00,cm4r15c06s04,102,1061208,0.8442,0.005,500,1,32,close,26.6483,,19.911,1550.4,8.798,3.0256,5.883,,6.5468,,40022909,84,33.049623,33.049623,0,results\lammps\intel-native\argon_block\weak_n102_p1061208_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose\20260630_024117_weak_rep1
lammps,intel-native,argon_block,weak,weak_n102_p1061208_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose,20260630_024117_weak_rep2,2026-06-30T03:23:46+02:00,cm4r15c06s04,102,1061208,0.8442,0.005,500,1,32,close,26.6999,,19.873,1545.6,8.8938,3.0483,5.848,,6.4752,,40022909,84,33.075854,33.075854,0,results\lammps\intel-native\argon_block\weak_n102_p1061208_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose\20260630_024117_weak_rep2
lammps,intel-native,argon_block,weak,weak_n102_p1061208_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose,20260630_024117_weak_rep3,2026-06-30T03:29:38+02:00,cm4r15c06s04,102,1061208,0.8442,0.005,500,1,32,close,26.6345,,19.922,1545.8,8.8742,3.0043,5.8752,,6.4819,,40022909,84,33.022731,33.022731,0,results\lammps\intel-native\argon_block\weak_n102_p1061208_rho0.8442_dt0.005_steps500_threads_r1_t32_bindclose\20260630_024117_weak_rep3
lammps,intel-native,argon_block,weak,weak_n107_p1225043_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose,20260630_024117_weak_rep1,2026-06-30T03:18:31+02:00,cm4r15c06s04,107,1225043,0.8442,0.005,500,1,37,close,29.9886,,20.425,1709.1,9.0917,3.2322,7.1134,,7.7068,,46197997,84,37.223984,37.223984,0,results\lammps\intel-native\argon_block\weak_n107_p1225043_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose\20260630_024117_weak_rep1
lammps,intel-native,argon_block,weak,weak_n107_p1225043_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose,20260630_024117_weak_rep2,2026-06-30T03:24:22+02:00,cm4r15c06s04,107,1225043,0.8442,0.005,500,1,37,close,30.2815,,20.228,1693.9,9.058,3.249,7.2548,,7.8472,,46197997,84,37.642414,37.642414,0,results\lammps\intel-native\argon_block\weak_n107_p1225043_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose\20260630_024117_weak_rep2
lammps,intel-native,argon_block,weak,weak_n107_p1225043_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose,20260630_024117_weak_rep3,2026-06-30T03:30:14+02:00,cm4r15c06s04,107,1225043,0.8442,0.005,500,1,37,close,30.1209,,20.335,1702.4,9.0597,3.2399,7.1723,,7.8281,,46197997,84,37.431531,37.431531,0,results\lammps\intel-native\argon_block\weak_n107_p1225043_rho0.8442_dt0.005_steps500_threads_r1_t37_bindclose\20260630_024117_weak_rep3
lammps,intel-native,argon_block,weak,weak_n114_p1481544_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose,20260630_024117_weak_rep1,2026-06-30T03:19:11+02:00,cm4r15c06s04,114,1481544,0.8442,0.005,500,1,45,close,35.8537,,20.661,1936.0,9.2909,3.6304,9.2874,,10.091,,55874636,85,44.488118,44.488118,0,results\lammps\intel-native\argon_block\weak_n114_p1481544_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose\20260630_024117_weak_rep1
lammps,intel-native,argon_block,weak,weak_n114_p1481544_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose,20260630_024117_weak_rep2,2026-06-30T03:25:02+02:00,cm4r15c06s04,114,1481544,0.8442,0.005,500,1,45,close,36.0809,,20.531,1921.6,9.3096,3.617,9.4628,,10.121,,55874636,85,44.707789,44.707789,0,results\lammps\intel-native\argon_block\weak_n114_p1481544_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose\20260630_024117_weak_rep2
lammps,intel-native,argon_block,weak,weak_n114_p1481544_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose,20260630_024117_weak_rep3,2026-06-30T03:30:54+02:00,cm4r15c06s04,114,1481544,0.8442,0.005,500,1,45,close,35.8732,,20.65,1931.8,9.3459,3.5897,9.2426,,10.118,,55874636,85,44.50451,44.50451,0,results\lammps\intel-native\argon_block\weak_n114_p1481544_rho0.8442_dt0.005_steps500_threads_r1_t45_bindclose\20260630_024117_weak_rep3
lammps,intel-native,argon_block,weak,weak_n118_p1643032_rho0.8442_dt0.005_steps500_threads_r1_t50_bindclose,20260630_024117_weak_rep1,2026-06-30T03:19:58+02:00,cm4r15c06s04,118,1643032,0.8442,0.005,500,1,50,close,41.5218,,19.785,2259.6,11.232,3.8453,10.548,,11.863,,61965197,84,51.367918,51.367918,0,results\lammps\intel-native\argon_block\weak_n118_p1643032_rho0.8442_dt0.005_steps500_threads_r1_t50_bindclose\20260630_024117_weak_rep1
